No,b,h,t,L,fy,fc,N,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
291,200.2,200.2,4.35,601,323,63.7,2825,,,,,
292,100.2,100.2,2.18,300,300,25.7,609,,,,,
293,200.3,200.3,4.35,601,323,29.6,2230,,,,,
294,300.5,300.5,6.1,902,395,26.5,5102,,,,,
295,100.1,100.1,2.18,300,300,53.7,851,,,,,
296,200.1,200.1,4.35,601,323,57.9,3201,,,,,
297,300.7,300.7,6.1,902,395,52.2,6494,,,,,
298,100.1,100.1,2.18,300,300,61,911,,,,,
299,200.3,200.3,4.35,601,323,63.7,3417,,,,,
300,100.7,100.7,9.6,301,400,24.64,1550,,,,,
301,101,101,9.6,300,400,74.88,2000,,,,,
302,99.9,99.9,4.9,301,289,24.64,800,,,,,
303,99.8,99.8,4.9,300,300,74.88,900,,,,,
304,100.1,100.1,4.2,301,333,27.76,700,,,,,
305,100,100,4.2,302,333,27.76,680,,,,,
306,100,100,4.1,299,333,77.76,1130,,,,,
307,100,100,4.1,300,333,77.76,970,,,,,
308,100,100,4.1,301,333,46.08,880,,,,,
309,99.9,99.9,4,301,333,46.08,830,,,,,
310,101,101,9.6,302,400,46.08,1800,,,,,
311,99.8,99.8,4.8,302,289,25.52,780,,,,,
312,99.7,99.7,4.7,301,289,46.56,1000,,,,,
313,99.7,99.7,4.73,302,289,79.12,1050,,,,,
314,99.9,99.9,4.1,301,333,79.12,1130,,,,,
315,200,200,3,600,303.5,46.8,2458,,,,,
316,200,200,3,601,303.5,46.8,2594,,,,,
317,200,200,3,602,303.5,46.8,2306,,,,,
318,200,200,3,603,303.5,46.8,2284,,,,,
319,200,200,3,604,303.5,46.8,2550,,,,,
320,200,200,3,605,303.5,46.8,2587,,,,,
321,149.8,149.8,4.27,600,412,31.9,1598,,,,,
322,149.8,149.8,4.27,1200,412,31.9,1586,,,,,
323,149.8,149.8,4.27,1800,412,31.9,1573,,,,,
324,149.8,149.8,4.27,2700,412,31.9,1356,,,,,
325,120,120,5.86,2600,321.1,20.4,999.6,,,,,
326,200,200,5.86,2600,321.1,16.8,2082.5,,,,,
327,120,120,3.84,2600,330.1,17.9,754.2,,,,,
328,120,120,3.84,2600,330.1,17.9,833,,,,,
329,120,120,3.84,2600,330.1,29.3,980,,,,,
330,140,140,3.84,2600,330.1,17.7,1048.6,,,,,
331,140,140,3.84,2600,330.1,17.7,1127,,,,,
332,140,140,3.84,2600,330.1,29.3,1323,,,,,
333,101.6,101.6,2.13,914,336,23.8,524,,,,,
334,101.6,101.6,2.13,914,336,23.8,488,,,,,
335,101.6,101.6,3.18,914,336,29.3,667,,,,,
336,101.6,101.6,3.18,914,336,29.3,676,,,,,
337,127,127,4.8,914,492,45.5,1156,,,,,
338,127,127,2.13,914.4,484.72,44.82,1601.36,,,,,
339,101.6,101.6,2.13,914.4,330.96,23.44,524,,,,,
340,101.6,101.6,3.18,914.4,330.96,23.44,488.41,,,,,
341,101.6,101.6,3.18,914.4,330.96,28.82,667.23,,,,,
342,101.6,101.6,3.18,914.4,330.96,28.82,676.13,,,,,
343,80,120,5,2760,386.3,44,600,,,,,
344,80,120,5,2740,357.5,35.7,407,,,,,
345,180,180,6.3,1000,397,92.4,4060,,,,,
346,260,260,7.1,1000,426,92.4,7488,,,,,
347,120,120,5,500,304,47,1440,,,,,
348,120,120,5,500,438,46,1690,,,,,
349,120,120,5,500,327,96,2040,,,,,
350,120,120,5,500,439,96,2240,,,,,
351,120,120,8,500,323,39,1550,,,,,
352,120,120,8,500,300,46,1670,,,,,
353,120,120,8,500,376,47,1990,,,,,
354,120,120,8,500,323,103,2270,,,,,
355,120,120,8,500,379,103,2680,,,,,
356,120,120,8,500,379,39,1800,,,,,
357,120,120,8,500,364,80,2300,,,,,
358,120,120,8,500,379,80,2290,,,,,
359,120,120,8,500,379,31,1680,,,,,
360,120,120,8,500,379,92,2430,,,,,
361,76.6,152.3,3,635,430,30.5,819,,,,,
362,76.5,152.8,4.47,635,383,26,1006,,,,,
363,101.8,152.4,4.32,635,413,26,1144,,,,,
364,102.8,152.7,4.57,635,365,23.8,1224,,,,,
365,101.3,151.4,5.72,635,324,23.8,1335,,,,,
366,102.1,151.4,7.34,635,358,23.8,1691,,,,,
367,127.3,127.3,3.15,635,356,30.5,917,,,,,
368,126.9,126.9,4.34,635,357,26,1095,,,,,
369,126.9,127,4.55,635,322,23.8,1113,,,,,
370,125.3,126.5,5.67,635,312,23.8,1202,,,,,
371,126.8,127.2,7.47,635,347,23.8,2069,,,,,
372,125,125,3.2,500,443,94,1598,,,,,
373,125,125,3.2,1000,443,94,1586,,,,,
374,125,125,3.2,1500,443,94,1574,,,,,
375,125,125,3.2,2250,443,94,1357,,,,,
376,85,130,2.86,390,228,47.44,760,,,,,
377,85,130,2.86,390,228,47.44,820,,,,,
378,80,140,2.86,420,228,47.44,880,,,,,
379,80,140,2.86,420,228,47.44,740,,,,,
380,100,200,5,2000,360,33.4,1242,,,,,
381,100,200,5,2000,360,33.4,1242,,,,,
382,100,200,5,2000,360,10,1062,,,,,
383,100,200,5,2000,360,10,1022,,,,,
