No,b,h,t,L,fy,fc,N,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
668,110,110,5,330,701,54.5,2234,,,,,
669,140,140,5,420,701,54.5,2942,,,,,
670,140,140,5,420,701,54.5,2840,,,,,
671,170,170,5,510,701,54.5,3118,,,,,
672,170,170,5,510,701,54.5,3243,,,,,
673,180,180,5,570,701,54.5,3882,,,,,
674,180,180,5,570,701,54.5,3856,,,,,
675,101,203,8.28,607,488.38,43.2,3090,,,,,
676,102,203,8.28,60,488.38,55.3,3230,,,,,
677,119,183,8.28,541,488.38,43.2,3300,,,,,
678,122,182,8.28,541,488.38,55.3,3380,,,,,
679,150,150,8.28,453,488.38,43.2,3500,,,,,
680,150,152,8.28,451,488.38,55.3,3575,,,,,
681,100,120,5.7,361,514.53,43.2,1960,,,,,
682,100,120,5.7,360,514.53,55.3,2100,,,,,
683,121,182,5.7,540,514.53,43.2,2485,,,,,
684,122,181,5.7,540,514.53,55.3,2710,,,,,
685,103,121,7.69,363,423.2,43.2,2545,,,,,
686,101,120,7.69,358,423.2,55.3,2730,,,,,
687,119,179,7.69,542,423.2,43.2,3130,,,,,
688,120,180,7.69,545,423.2,55.3,3150,,,,,
689,101.6,101.6,3,1000,483.9,25,718.88,,,,,
690,101.6,101.6,3,1500,483.9,25,691.38,,,,,
691,101.6,101.6,3,2000,483.9,25,589.48,,,,,
692,101.6,101.6,3,2500,483.9,25,471.29,,,,,
693,120,120,3.5,1000,401,25,1164.16,,,,,
694,120,120,3.5,1500,401,25,997.19,,,,,
695,120,120,3.5,2000,401,25,899.65,,,,,
696,120,120,3.5,2500,401,25,729.1,,,,,
697,150,150,3.5,1000,405,25,1516.26,,,,,
698,150,150,3.5,1500,405,25,1330.13,,,,,
699,150,150,3.5,2000,405,25,1307.61,,,,,
700,150,150,3.5,2500,405,25,1198.25,,,,,
701,60,60,3,2700,351.51,28.8,105.4,,,,,
702,60,60,4,2700,528.55,28.8,127.7,,,,,
703,60,60,4.5,2700,522.11,28.8,156,,,,,
704,63,63,3,2700,442.69,28.8,123.6,,,,,
705,63,63,4,2700,517.49,28.8,154.7,,,,,
706,63,63,4.5,2700,449.95,28.8,168.6,,,,,
707,76,76,3,2700,441.12,28.8,212,,,,,
708,76,76,4,2700,498.38,28.8,247.3,,,,,
709,76,76,4.5,2700,500.97,28.8,266.5,,,,,
710,100,100,3,2700,441.19,28.8,405,,,,,
711,100,100,4.5,2700,424.49,28.8,501.71,,,,,
712,120,120,3,2700,400.77,28.8,770.39,,,,,
713,120,120,4.5,2700,436.54,28.8,830,,,,,
714,150,150,3,2700,429.14,28.8,1087.1,,,,,
715,150,150,4.5,2700,334.8,28.8,1285.1,,,,,
716,73.93,73.93,4.89,1512,762,113,1732,,,,,
717,73.84,73.84,4.89,1512,762,113,1362,,,,,
718,73.6,73.6,4.96,1512,762,113,1572,,,,,
719,98.87,98.87,4.93,1512,762,113,2087,,,,,
720,98.89,98.89,4.92,1512,762,113,2109,,,,,
721,99.29,99.29,4.89,1512,762,113,2374,,,,,
722,124.12,124.12,4.93,1512,762,113,3748,,,,,
723,124.39,124.39,4.89,1512,762,113,3560,,,,,
724,124.05,124.05,4.93,1512,762,113,2799,,,,,
725,74.36,74.36,4.9,2512,762,113,583,,,,,
726,74.44,74.44,4.94,2512,762,113,878,,,,,
727,75.08,75.08,4.92,2512,762,113,594,,,,,
728,99.95,99.95,4.9,2512,762,113,1377,,,,,
729,100,100,4.93,2512,762,113,1049,,,,,
730,99.37,99.37,4.91,2512,762,113,1235,,,,,
731,124.6,124.6,4.93,2512,762,113,2823,,,,,
732,125.09,125.09,4.89,2512,762,113,2546,,,,,
733,124.54,124.54,4.92,2512,762,113,2522,,,,,
734,149.72,149.72,4.94,2512,762,113,3938,,,,,
735,149.96,149.96,4.91,2512,762,113,3739,,,,,
736,150.31,150.31,4.92,2512,762,113,3988,,,,,
737,199.62,199.62,4.95,2512,762,113,6141,,,,,
738,199.5,199.5,4.92,2512,762,113,6004,,,,,
739,199.78,199.78,4.92,2512,762,113,6329,,,,,
740,74.04,74.04,4.91,285,762,100,1636,,,,,
741,72.87,72.87,4.88,285,762,100,1755,,,,,
742,99.56,99.56,4.91,360,762,100,2520,,,,,
743,99.2,99.2,4.93,360,762,100,2632,,,,,
744,124.43,124.43,4.93,435,762,100,3023,,,,,
745,124.94,124.94,4.94,435,762,100,2962,,,,,
746,149.99,149.99,4.92,510,762,100,4115,,,,,
747,149.87,149.87,4.92,510,762,100,3968,,,,,
748,149.77,149.77,4.93,1514,762,113,5164,,,,,
749,149.37,149.37,4.94,1514,762,113,4833,,,,,
750,149.58,149.58,4.95,1514,762,113,5085,,,,,
751,199.01,199.01,4.92,660,762,113,5184,,,,,
752,198.71,198.71,4.92,660,762,113,5604,,,,,
753,198.92,198.92,4.91,1514,762,113,7478,,,,,
754,198.99,198.99,4.92,1514,762,113,7506,,,,,
755,198.96,198.96,4.94,1514,762,113,6460,,,,,
756,186,186,3,540,300,32,1555,,,,,
757,126,126,3,360,300,50,1114,,,,,
758,120,120,5,430,761,20.34,1835,,,,,
759,170,170,5,580,761,20.34,2831,,,,,
760,220,220,5,730,761,20.34,3609,,,,,
761,270,270,5,880,761,20.34,3950,,,,,
762,65,65,3,250,350,79,502,,,,,
763,75,75,3,250,370,79,684,,,,,
764,75,65,3,250,370,52,568,,,,,
765,65,75,3,250,350,52,434,,,,,
766,75,75,3,1770,450,79,414,,,,,
767,65,75,3,1770,400,79,294,,,,,
768,75,65,3,1770,450,52,343,,,,,
769,65,75,3,1770,400,52,269,,,,,
770,150,150,8,450,779,152.3,6536,,,,,
771,150,150,8,450,779,157.2,6715,,,,,
772,150,150,8,450,779,147,6616,,,,,
773,150,150,8,450,779,164.1,7276,,,,,
774,150,150,8,450,779,148,6974,,,,,
775,150,150,12,450,756,152.3,8585,,,,,
776,150,150,12,450,756,157.2,8452,,,,,
777,150,150,12,450,756,147,8687,,,,,
778,150,150,12,450,756,164.1,8730,,,,,
779,150,150,12,450,756,148,8912,,,,,
780,150,150,12.5,450,446,152.3,5953,,,,,
781,150,150,12.5,450,446,157.2,5911,,,,,
782,150,150,12.5,450,446,147,6039,,,,,
783,150,150,12.5,450,446,164.1,6409,,,,,
784,150,150,12.5,450,446,148,6285,,,,,
785,197,197,6.4,600,437.88,26.58,2730,,,,,
786,198.5,198.5,6.1,600,437.88,25.81,3010,,,,,
787,200.5,200.5,6.3,600,437.88,24.47,2830,,,,,
788,201,201,10.3,600,381.68,26.58,3980,,,,,
789,201,201,10,600,381.68,25.81,3920,,,,,
790,199.5,199.5,10.1,600,381.68,24.47,3900,,,,,
791,100,150,4.5,1855,379.8,29,1344.8,,,,,
792,100,150,4.5,1855,379.8,29,1281.3,,,,,
793,100,150,4.5,1855,379.8,29,1320.2,,,,,
794,100,150,4.5,1855,379.8,29,1367.6,,,,,
795,100,150,4.5,1855,379.8,63,1756.1,,,,,
796,100,150,4.5,1855,379.8,63,1702.8,,,,,
797,100,150,4.5,1855,379.8,63,1762.7,,,,,
798,100,150,4.5,1855,379.8,63,1737.5,,,,,
799,100,150,4.5,1855,379.8,63,1669.2,,,,,
800,100,150,4.5,1855,379.8,63,1705.8,,,,,
801,100,150,4.5,1855,379.8,70,1894.6,,,,,
802,100,150,4.5,1855,379.8,70,1889.2,,,,,
803,100,150,4.5,1855,379.8,70,1885.6,,,,,
804,100,150,4.5,1855,379.8,70,1891.6,,,,,
805,100,150,4.5,1855,379.8,70,1862.3,,,,,
806,100,150,4.5,1855,379.8,70,1889.8,,,,,
807,100,150,4.5,1855,379.8,84,2066.1,,,,,
808,100,150,4.5,1855,379.8,84,2196.4,,,,,
809,100,150,4.5,1855,379.8,84,2096.1,,,,,
810,100,150,4.5,1855,379.8,84,2090.1,,,,,
811,100,150,4.5,1855,379.8,84,2006.7,,,,,
812,100,150,4.5,1855,379.8,84,2083.5,,,,,
813,150,150,8,450,779,152.3,6536,,,,,
814,150,150,8,450,779,157.2,6715,,,,,
815,150,150,8,450,779,147,6616,,,,,
816,150,150,8,450,779,164.1,7276,,,,,
817,150,150,8,450,779,148,6974,,,,,
818,150,150,12,450,756,152.3,8585,,,,,
819,150,150,12,450,756,157.2,8452,,,,,
820,150,150,12,450,756,147,8687,,,,,
821,150,150,12,450,756,164.1,8730,,,,,
822,150,150,12,450,756,148,8912,,,,,
823,150,150,12.5,450,446,152.3,5953,,,,,
824,150,150,12.5,450,446,157.2,5911,,,,,
825,150,150,12.5,450,446,147,6039,,,,,
826,150,150,12.5,450,446,164.1,6409,,,,,
827,150,150,12.5,450,446,148,6285,,,,,
828,100.4,100.4,2.07,300,348.7,59,987,,,,,
829,100.4,100.4,2.03,300,348.7,113.2,1406,,,,,
830,100.4,100.4,2.05,300,348.7,130.8,1575,,,,,
831,100.4,100.4,3.79,300,306.7,59,1138,,,,,
832,100.3,100.3,3.83,300,306.7,113.2,1544,,,,,
833,100.4,100.4,3.79,300,306.7,130.8,1676,,,,,
834,100.7,100.7,7.6,300,371.6,59,1647,,,,,
835,100.7,100.7,7.59,300,371.6,113.2,1976,,,,,
836,100.7,100.7,7.63,300,371.6,130.8,2051,,,,,
837,125,125,4,300,342.59,46.67,1159.2,,,,,
838,125,125,4,300,342.59,94.33,1882.5,,,,,
839,100,150,4,300,270.84,40.41,912,,,,,
840,100,150,4,300,270.84,90.58,1188.5,,,,,
841,125,125,3,300,296.06,46.67,824.5,,,,,
842,125,125,3,300,296.06,94.31,1441.2,,,,,
843,200,200,6,695,485,38,3488,,,,,
844,200,200,6,695,485,38,3452,,,,,
845,200,200,6,695,485,80.5,4921,,,,,
846,200,200,6,695,485,80.5,4973,,,,,
847,200,200,6,695,485,112.1,6060,,,,,
848,200,200,6,695,485,112.1,6298,,,,,
849,200,200,6,695,485,112.1,6218,,,,,
850,126,126,3,300,300,40,950,,,,,
851,156,156,3,300,300,50,1300,,,,,
852,186,186,3,300,300,32,1200,,,,,
853,246,246,3,300,300,38,2200,,,,,
854,306,306,3,300,300,38,2519,,,,,
855,126,126,3,360,300,50,1114,,,,,
856,156,156,3,450,300,50,1708,,,,,
857,186,186,3,540,300,32,1555,,,,,
858,246,246,3,720,300,38,3095,,,,,
859,306,306,3,900,300,38,4000,,,,,
860,306,306,3,900,300,38,4253,,,,,
861,306,306,3,900,300,38,4495,,,,,
862,306,306,3,900,300,38,4581,,,,,
863,250,250,2.5,750,338,25.5,1993,,,,,
864,250,250,2.5,750,338,25.5,2020,,,,,
865,250,250,2.5,750,338,50.8,3190,,,,,
866,250,250,2.5,750,338,51.2,3150,,,,,
867,250,250,2.5,750,342,67,4080,,,,,
868,250,250,2.5,750,342,67,4040,,,,,
869,190,190,2.5,570,342,67,2480,,,,,
870,190,190,2.5,570,342,67,2430,,,,,
871,250,250,2.5,750,270,58.3,3495,,,,,
872,190,190,2.5,570,270,58.3,2140,,,,,
873,249,250.4,2.5,750,234.3,50.1,3409,,,,,
874,128.2,129.1,2.5,390,234.3,54.8,1150,,,,,
875,120,120,5,500,304,47,1440,,,,,
876,120,120,5,500,438,46,1690,,,,,
877,120,120,5,500,327,96,2040,,,,,
878,120,120,5,500,439,96,2240,,,,,
879,120,120,8,500,323,39,1550,,,,,
880,120,120,8,500,300,46,1670,,,,,
881,120,120,8,500,376,47,1990,,,,,
882,120,120,8,500,323,103,2270,,,,,
883,120,120,8,500,379,103,2680,,,,,
884,120,120,8,500,379,39,1800,,,,,
885,120,120,8,500,390,80,2300,,,,,
886,120,120,8,500,379,80,2290,,,,,
887,120,120,8,500,404,92,1380,,,,,
888,150.3,149.9,1.98,399.5,413,56,2046,,,,,
889,150.1,149.8,2,400.1,413,56,2200,,,,,
890,150.2,150.2,2.98,401,392,56,2360,,,,,
891,150.4,150,3,400.6,392,56,2300,,,,,
892,200.3,100.5,1.98,400,413,56,1980,,,,,
893,200.5,100.5,2.97,402,392,56,2160,,,,,
894,300,300,6,1050,414,10,3428,,,,,
895,300,300,6,1050,369,40,6298,,,,,
896,60,60,1.87,180,282,81,382,,,,,
897,60,60,1.87,180,282,81,350,,,,,
898,100,100,1.87,300,282,81,860,,,,,
899,100,100,1.87,300,282,81,840,,,,,
900,150,150,1.87,450,282,81,1662,,,,,
901,150,150,1.87,450,282,81,1740,,,,,
902,200,200,1.87,600,282,81,2890,,,,,
903,200,200,1.87,600,282,81,2920,,,,,
904,250,250,1.87,750,282,60,3304,,,,,
905,250,250,1.87,750,282,60,3400,,,,,
906,60,60,2,180,404,50.9,318,,,,,
907,60,60,2,180,404,50.9,322,,,,,
908,100,100,2,300,404,50.9,770,,,,,
909,100,100,2,300,404,50.9,772,,,,,
910,150,150,2,450,404,50.9,1300,,,,,
911,150,150,2,450,404,50.9,1420,,,,,
912,200,200,2,600,404,50.9,1990,,,,,
913,200,200,2,600,404,50.9,2054,,,,,
914,250,250,2,750,404,50.9,3100,,,,,
915,250,250,2,750,404,50.9,2965,,,,,
916,60,60,2,180,404,81,422,,,,,
917,60,60,2,180,404,81,406,,,,,
918,150,150,2,450,404,81,2060,,,,,
919,150,150,2,450,404,81,1980,,,,,
920,110,110,5,330,750,28,1836,,,,,
921,110,110,5,330,750,28,1832,,,,,
922,160,160,5,330,750,30,2868,,,,,
923,160,160,5,330,750,30,2922,,,,,
924,160,160,5,330,750,30,2242,,,,,
925,210,210,5,330,750,32,3710,,,,,
926,210,210,5,330,750,32,3483,,,,,
927,210,210,5,330,750,32,2520,,,,,
928,100,100,4.9,300,668.8,89.2,1800.3,,,,,
929,100,100,4.9,300,668.8,100.3,2003.8,,,,,
930,100,100,5.8,300,646.2,100.3,2220.5,,,,,
931,100,100,5.8,300,646.2,111.3,2391.2,,,,,
932,100,100,5.8,300,646.2,128.1,2573.3,,,,,
933,100,100,6.8,300,599.5,89.2,2209.4,,,,,
934,100,100,6.8,300,599.5,100.3,2294.7,,,,,
935,100,100,6.8,300,599.5,111.3,2368.9,,,,,
936,100,100,6.8,300,599.5,128.1,2492.1,,,,,
937,100,100,10,300,458.6,89.2,2206.1,,,,,
938,100,100,10,300,458.6,111.3,2297.7,,,,,
939,100,100,10,300,458.6,128.1,2498.5,,,,,
